Row,Name,Surname,Sex,Birthdate,Comune,Cod.Fiscale,NumeroTessera
0,Mouhameth,Mazza,M,1961-08-22,Gaiarine,MZZMMT61M22D854K,237971319838010581
1,Francesca Amira,Innocenti,F,1959-03-27,Lozzo Atestino,NNCFNC59C67E709B,963231202896772494
2,Cinzia,Montagna,F,1971-01-10,Rosolina,MNTCNZ71A50H573V,458358937229169235
3,Carlo,Bartolini,M,1930-01-29,Loreggia,BRTCRL30A29E684P,688202778442176304
4,Grace,Greco,F,1972-06-17,Sant'Urbano,GRCGRC72H57I375Q,667446992803716660
5,Alessio,De Angelis,M,1937-06-05,Ponte di Piave,DNGLSS37H05G846I,565918572420835676
6,Anna,Di Girolamo,F,1970-01-06,Monselice,DGRNNA70A46F382M,968032208741223019
7,Simona,Acquadro,F,1998-05-22,Bressanvido,CQDSMN98E62B161D,423307613999086173
8,Fabio Mario,Alberti,M,1928-11-15,Fontanelle,LBRFMR28S15D674W,243654611403886783
9,Raimonda,Russo,F,1943-05-15,Sona,RSSRND43E55I826F,618704894342160557
10,Giacomo,Di Dio,M,1998-10-20,Megliadino San Vitale,DDIGCM98R20F092I,998926624323537282
11,Giulio Alessandro,Cecchini,M,1926-12-05,Corbola,CCCGLS26T05C987W,478726509883738982
12,Maura,Mereu,F,1973-02-06,Vigonovo,MREMRA73B46L899H,185768437312351837
13,Marco,Gallo  Franco,M,1950-11-14,Curtarolo,GLLMRC50S14D226I,184415521166224232
14,Denise,Quinto,F,1951-12-29,Moriago della Battaglia,QNTDNS51T69F729S,936443845381926358
15,Francesco,Messina,M,1948-07-07,Tombolo,MSSFNC48L07L199Y,287676691579609335
16,Elisa,Francese  Ferrari,F,2003-02-23,Schio,FRNLSE03B63I531O,934534943707872552
17,Giuliana,Leonetti,F,1970-08-18,Bevilacqua,LNTGLN70M58A837W,263161112272510167
18,Mattia,Panzeri,M,1952-03-25,Breda di Piave,PNZMTT52C25B128L,511442644997487620
19,Elisa,Sartor,F,1997-04-12,Galzignano Terme,SRTLSE97D52D889K,588032907693789749
20,Meghan,Rosso,F,1962-06-09,Pontecchio Polesine,RSSMHN62H49G836A,786430255279988258
21,Nadia,Ferrari,F,2002-04-10,Nove,FRRNDA02D50F957S,387064925396795977
22,Laura,Pedrazzini,F,2000-07-05,Fonte,PDRLRA00L45D680E,762233809637401790
23,Alesia,Da Rold,F,1965-10-26,Motta di Livenza,DRLLSA65R66F770A,515240960739613332
24,Amina,Pircher,F,1967-03-29,Villanova Marchesana,PRCMNA67C69L988O,310766669224377552
25,Vanessa,Di Girolamo,F,1932-06-04,Castelguglielmo,DGRVSS32H44C122Q,672486854042795120
26,Nicola,Occhipinti,M,1960-05-13,Ronco all'Adige,CCHNCL60E13H540G,720679542142872358
27,Giovanni,Azara,M,2000-12-05,Bovolenta,ZRAGNN00T05B106U,801021349766420755
28,Giuseppina,Bianchi,F,1979-01-10,Porto Viro,BNCGPP79A50G926P,560977937136873450
29,Edoardo,Di Girolamo,M,1930-09-21,Agna,DGRDRD30P21A075Q,714498109798347568
30,Giuseppina Bruna,Zanetti,F,1923-04-30,Valeggio sul Mincio,ZNTGPP23D70L567O,296633710697846306
31,Nicolae,Proietti,M,1980-01-18,Villafranca Padovana,PRTNCL80A18L947A,143855046917607218
32,Fatiha,Ferraro,F,1932-02-21,Caldiero,FRRFTH32B61B402Q,635297208157773268
33,Isabel,Licata,F,1944-10-04,Cencenighe Agordino,LCTSBL44R44C458O,187357247241026222
34,Giulia,Russo,F,1996-04-15,Fossalta di Piave,RSSGLI96D55D740D,748216697623327469
35,Maria,Moretti,F,1953-10-20,Santa Maria di Sala,MRTMRA53R60I242S,514545830554182893
36,Carmelo,Mazzoni,M,1989-06-22,Altissimo,MZZCML89H22A236Q,398790948786220729
37,Elisa Rosa,Minniti,F,1976-01-14,Solesino,MNNLRS76A54I799Z,169046700447913867
38,Elisa,Gori,F,1982-01-28,Tribano,GROLSE82A68L414R,610893307170018157
39,Caterina,Coppola,F,1998-12-27,Minerbe,CPPCRN98T67F218M,542969999035566570
40,Simone,Loi,M,1949-04-05,Baone,LOISMN49D05A613R,267222425127395079
41,Anna Rita,Rossi,F,2002-05-10,Villadose,RSSNRT02E50L939W,722522287496726634
42,Niche,Colombo,F,1967-12-04,Erbezzo,CLMNCH67T44D420T,432464654544902461
43,Giulia Ivana,Grasso,F,2000-08-04,Montebelluna,GRSGVN00M44F443A,183633026371833125
44,Silvia,Borghi,F,1997-12-25,Illasi,BRGSLV97T65E284G,798991924335651466
45,Mattia,Semeraro,M,1964-05-31,Anguillara Veneta,SMRMTT64E31A296H,685574590063709187
46,Carlotta Laura Alfa,Esposito,F,1948-01-15,Fossò,SPSCLT48A55D748N,872131336285725288
47,Godday,Sacco,M,1999-01-04,Salara,SCCGDY99A04H689R,894311398653314133
48,Scenny,Veronese,M,1958-02-20,Megliadino San Vitale,VRNSNN58B20F092M,693043506099855074
49,Julian,Rossi,M,1986-03-03,San Pietro di Feletto,RSSJLN86C03I103M,253970460115956785
